,Transformer,HighSideConnection,NumPhases
373,Transformer.tr(r:rdt1867-rdt1867lv),wye,1
374,Transformer.tr(r:rdt1868-rdt1868lv),wye,1
375,Transformer.tr(r:rdt1869-rdt1869lv),wye,1
376,Transformer.tr(r:rdt1870-rdt1870lv),wye,1
377,Transformer.tr(r:rdt1871-rdt1871lv),wye,1
378,Transformer.tr(r:rdt1872-rdt1872lv),wye,1
379,Transformer.tr(r:rdt1873-rdt1873lv),wye,1
380,Transformer.tr(r:rdt1874-rdt1874lv),wye,1
381,Transformer.tr(r:rdt1875-rdt1875lv),wye,1
382,Transformer.tr(r:rdt1876-rdt1876lv),wye,1
383,Transformer.tr(r:rdt1877-rdt1877lv),wye,1
384,Transformer.tr(r:rdt1878-rdt1878lv),wye,1
385,Transformer.tr(r:rdt1879-rdt1879lv),wye,1
386,Transformer.tr(r:rdt1880-rdt1880lv),wye,1
387,Transformer.tr(r:rdt1881-rdt1881lv),wye,1
388,Transformer.tr(r:rdt1882-rdt1882lv),wye,1
389,Transformer.tr(r:rdt1883-rdt1883lv),wye,1
390,Transformer.tr(r:rdt1884-rdt1884lv),wye,1
391,Transformer.tr(r:rdt1885-rdt1885lv),wye,1
392,Transformer.tr(r:rdt1886-rdt1886lv),wye,1
393,Transformer.tr(r:rdt1887-rdt1887lv),wye,1
394,Transformer.tr(r:rdt1888-rdt1888lv),wye,1
395,Transformer.tr(r:rdt1889-rdt1889lv),wye,1
396,Transformer.tr(r:rdt1890-rdt1890lv),wye,1
397,Transformer.tr(r:rdt1891-rdt1891lv),wye,1
398,Transformer.tr(r:rdt1892-rdt1892lv),wye,1
399,Transformer.tr(r:rdt1893-rdt1893lv),wye,1
400,Transformer.tr(r:rdt1894-rdt1894lv),wye,1
401,Transformer.tr(r:rdt1895-rdt1895lv),wye,1
402,Transformer.tr(r:rdt1896-rdt1896lv),wye,1
403,Transformer.tr(r:rdt1897-rdt1897lv),wye,1
404,Transformer.tr(r:rdt1898-rdt1898lv),wye,1
405,Transformer.tr(r:rdt1899-rdt1899lv),wye,1
406,Transformer.tr(r:rdt1900-rdt1900lv),wye,1
407,Transformer.tr(r:rdt1901-rdt1901lv),wye,1
408,Transformer.tr(r:rdt1902-rdt1902lv),wye,1
409,Transformer.tr(r:rdt1903-rdt1903lv),wye,1
410,Transformer.tr(r:rdt1904-rdt1904lv),wye,1
411,Transformer.tr(r:rdt1905-rdt1905lv),wye,1
412,Transformer.tr(r:rdt1906-rdt1906lv),wye,1
413,Transformer.tr(r:rdt1907-rdt1907lv),wye,1
414,Transformer.tr(r:rdt1908-rdt1908lv),wye,1
415,Transformer.tr(r:rdt1909-rdt1909lv),wye,1
416,Transformer.tr(r:rdt1910-rdt1910lv),wye,1
417,Transformer.tr(r:rdt1911-rdt1911lv),wye,1
418,Transformer.tr(r:rdt1912-rdt1912lv),wye,1
419,Transformer.tr(r:rdt1913-rdt1913lv),wye,1
420,Transformer.tr(r:rdt1914-rdt1914lv),wye,1
421,Transformer.tr(r:rdt1915-rdt1915lv),wye,1
422,Transformer.tr(r:rdt1916-rdt1916lv),wye,1
423,Transformer.tr(r:rdt1917-rdt1917lv),wye,1
424,Transformer.tr(r:rdt1918-rdt1918lv),wye,1
425,Transformer.tr(r:rdt1919-rdt1919lv),wye,1
426,Transformer.tr(r:rdt1920-rdt1920lv),wye,1
427,Transformer.tr(r:rdt1921-rdt1921lv),wye,1
428,Transformer.tr(r:rdt1922-rdt1922lv),wye,1
429,Transformer.tr(r:rdt1923-rdt1923lv),wye,1
430,Transformer.tr(r:rdt1924-rdt1924lv),wye,1
431,Transformer.tr(r:rdt1925-rdt1925lv),wye,1
432,Transformer.tr(r:rdt1926-rdt1926lv),wye,1
433,Transformer.tr(r:rdt1938-rdt1938lv),wye,1
434,Transformer.tr(r:rdt1939-rdt1939lv),wye,1
435,Transformer.tr(r:rdt1940-rdt1940lv),wye,1
436,Transformer.tr(r:rdt1941-rdt1941lv),wye,1
437,Transformer.tr(r:rdt1942-rdt1942lv),wye,1
438,Transformer.tr(r:rdt1943-rdt1943lv),wye,1
439,Transformer.tr(r:rdt1944-rdt1944lv),wye,1
440,Transformer.tr(r:rdt1945-rdt1945lv),wye,1
441,Transformer.tr(r:rdt1946-rdt1946lv),wye,1
442,Transformer.tr(r:rdt2153-rdt2153lv),wye,1
443,Transformer.tr(r:rdt2154-rdt2154lv),wye,1
444,Transformer.tr(r:rdt2155-rdt2155lv),wye,1
445,Transformer.tr(r:rdt2156-rdt2156lv),wye,1
446,Transformer.tr(r:rdt2157-rdt2157lv),wye,1
447,Transformer.tr(r:rdt2158-rdt2158lv),wye,1
